NO,文案
16,"1,“你是我的人，就算是呼吸也有撇不清的关系”

2,“人死后肯定会去天堂，为什么不会有地狱呢!那是因为活着在人间，人间就是地狱。”

3,“可是亲眼看着自己栽的树，以后就要为别人遮风挡雨了，难免有些哽咽。”

4,“你承诺过的月亮还是没有出现”

5,“很多事情我还记在心里，我只是瞒着所有人假装迈过的这个坎。”

"
17,"1,“我以为长大可以解决所有的问题，但长大才是问题的开始。”

2,“忘了吧连同那些尖酸刻薄的话和夜里流的泪。”

3,“好多话想说，好多话没说，好多话不能说。”

4,“生活已经很累了，如果爱不能给人力量，反而产生消耗，那爱的意义是什么”

5,“其实我一直是个遇到点冷漠就想走的人，可我也真的为你停留了好久。”

"
18,"1,“我们大都走在一条相似的路上却误以为自己惊世骇俗。”

2,“敏感的人，总要承受双倍难过”

3,“一个人走，一个人静，一个人思考，一个人时也许最孤独，但却最清醒。”

4,“是认清 是看淡 是无所谓 是顺其自然 是不重要了”

5,“没有什么避风港，风很强，雨很大:我控制不了我那忽好忽坏的烂情绪。”

"
19,"1,“没什么避风港，风很大，雨很强，我控制不了我那忽好忽坏的烂情绪。”

2,“我好像只是偶尔被需要，从来都没有很重要”

3,“那天你哭着求我放过你，却忘了当初是你主动找的我。”

4,“没有结局的故事太多了，我们不过是那树上的枯枝烂叶。”

5,“我最信任的人，教会我不要信任何人”

"
20,"1,“言语伤害像是一场慢性病，不会致死，但深受折磨。”

2,“说反话的时候希望你不要顺了我的意。”

3,“情绪的尽头不是脏话，不是发泄，而是沉默。”

4,“在快餐式恋爱的时代，我熬的粥又慢又清淡，谁会喜欢呢？”

5,“最近好累，处理着乱七八糟的关系，总是一个人偷偷抹眼泪，路也是一个人走。”

"
21,"1,我差一点就要碰到星星了，只是后来天亮了。

2,一句会好的，撑了我一年又一年，一句先苦后甜，让我熬了一天又一天！

3,世界上最大的监狱,，就是自己的大脑，走不出自己的执念，到哪都是囚徒。

4,雨太大了，撑伞也没用，我的意思是，无所谓了。

5,对相爱的人来说，对方的心才是最好的房子。

"
22,"1,我见过所有美好的事务都发生在别人身上。

2,在这薄情的世界里 你想拿深情留住什么

3,希望不要再有短暂出现的人，打破我平静的生活，又匆匆离开。

4,见一面都很难的人，居然还在幻想着有以后。

5,随你，我的爱早在你一次次的不知好歹中被碾碎了。

"
23,"1,随便吧，也没有特别想维持的关系

2,那我又是谁故事里的甲乙丙丁

3,我毫无底线的缝缝补补很疲惫，突然觉得我该清醒了。

4,眼泪真的很奇怪，疼的时候可以忍住，累了也可以忍住，偏偏委屈的时候忍不住。

5,搭错车和错过车都不遗憾，遗憾的是都没到达终点。

"
24,"1,所有的失望都是来源于我对你凭空的期待。

2,我无法拦住要走的风，也无法拥抱整片天空。

3,喜欢到最后变成了不甘，主动变成了犯贱。

4,什么都是短暂的，只有遗憾和失去是漫长的。

5,她来人间一趟，先是在父亲家里暂住一些年，然后去丈夫家借住些年，最后在儿子家落一落脚，这辈子像个客人一样，最后化为风中飞絮，水上浮萍。

"
25,"1,刻在我心里抹不掉的，是你和我的曾经。

2,感情世界里最没用的四种东西，分手后的后悔，不爱后的关怀，低智商的善良，高高在上的自尊心。

3,我总担心会失去你，却唯独忘了照顾好自己。

4,我站在清醒与麻木的边缘，不能堕落也不能解脱。

5,深夜是打开冰箱透出的光亮，是起一罐啤酒清脆的声响，是音响里深沉的嗓音。孤独没有形状，却是无数个你白日的模样。

"
26,"1,容易被辜负的，永远都是那些天真又心软的人，毕竟好骗又好欺负，伤疤一好，就忘了痛。

2,原来最痛苦的惩罚不是忘记，而是永远记得。

3,后来，南山的风吹散了谷堆，北海的水淹没了墓碑。

4,事情可以自己做，姨妈来了自己扛，想要的东西自己买，为什么还要吃恋爱的苦。

5,所谓的意难平，终归结底都是败给权衡利弊。

"
27,"1,曾以为自己是心脏的主人，后来发现，你才是。

2,你一生走南闯北，充其量，顶多也只能遇见三个人，一个要你活，一个要你死，一个根本不在意你死活。

3,很长的时间里，我穿梭在孤独的人群中，感情麻木又空白，我彷徨着，仿佛已经完全失去了自我。

4,感情是个奇怪又可怕的东西：它会将谁都陶醉其中，并刻骨铭心地撕裂伤害每一个受傷之微小角落。

5,放心吧!就算这次把夜熬穿了也不会再想着你了。

"
28,"1,后来我没再找你，不是你不重要，而是我知道我不重要了。

2,自那以后，我便不再轻信承诺，我只笑着点点头说我知道了。

3,轻描淡写是我一夜一夜熬出来的。

4,你跋山涉水去见的人根本不会牢记你，他只会记得自己跋山涉水见过的人。

5,早就被代替了，耿耿于怀的只是我而已。

"
29,"1,如果能想通，就不会在夜里难过了。

2,天很蓝，找一个风大的地方 把我忘了吧

3,到底什么样的终点，才能配得上这一路的颠簸流离。

4,回忆之所以美丽，是因为谁都回不去。

5,我没有闹脾气，我只是不知道怎么用尖锐的方式表达我的不开心。

"
30,"1,百般委屈涌上心头，话到嘴边却觉得不值一提。

2,我从未放弃喜欢你，只是从浓烈变得悄无声息。

3,爱来爱去才发现，其实不爱的时候最开心。

4,我要山，要海，要自由，开玩笑的，我只要我这颗破碎的心不再受伤害。

5,连崩溃都要考虑后果的人，是懂事，还是无能为力。

"
